Dari mana tokoh Habibie berasal,Sulawesi Selatan
Dari mana tokoh Jusuf Kalla berasal,Bone
Dari mana tokoh Chairil Anwar berasal,Medan
Dari mana tokoh Amien Rais berasal,Jawa Tengah
Dari mana tokoh Megawati Sukarnoputri berasal,Yogyakarta
Dari mana tokoh Taufik Ismail berasal,Sumatera Barat
Dari mana tokoh Anis Baswedan berasal,Jawa Barat
Dari mana tokoh Sutan Sjahrir berasal,Padang Panjang
Dari mana tokoh Pramoedya Ananta Toer berasal,Jawa Tengah
Dari mana tokoh Taufik Kiemas berasal,Jakarta
Dari mana tokoh Dahlan Iskan berasal,Magetan
Dari mana tokoh Amir Syarifuddin berasal,Medan
Dari mana tokoh Basuki Tjahaja Purnama berasal,Belitung
Dari mana tokoh Susi Pudjiastuti berasal,Pangandaran
Dari mana tokoh Ridwan Kamil berasal,Bandung
Dari mana tokoh Ganjar Pranowo berasal,Jawa Tengah
Dari mana tokoh Tri Rismaharini berasal,Kediri
Dari mana tokoh Dedi Mulyadi berasal,Jawa Barat
Dari mana tokoh Hatta Radjasa berasal,Palembang
Dari mana tokoh Susilo Bambang Yudhoyono,Jawa Timur
Dari mana tokoh Boediono berasal,Blitar
Dari mana tokoh Sri Mulyani berasal,Lampung
Dari mana tokoh Andi F Noya berasal,Jawa Timur
Dari mana tokoh Surya Paloh berasal,Banda Aceh
Dari mana tokoh Abdul Harris Nasution berasal,Sumatera Utara
Dari mana tokoh Sri Sultan Hamengkubowono IX berasal,Yogyakarta
Dari mana tokoh Hamzah Haz berasal,Kalimantan Barat
Dari mana tokoh Radjiman Wedyoningrat berasal,Yogyakarta
Dari mana tokoh Semaun berasal,Jombang
Dari mana tokoh Aidit berasal,Belitung
Dari mana tokoh Sjam Kamaruzaman berasal,Jawa Timur
Dari mana tokoh Tuanku Imam Bonjol berasal,Sumatera Barat
Dari mana tokoh I Gusti Ketut Jelantik berasal,Bali
Dari mana tokoh Martha Christina Tijahah berasal,Maluku
Dari mana tokoh Brigjen Hasan Basri berasal,Kalimantan Selatan
Dari mana tokoh Frans Kaisiepo berasal,Papua
